"DepHour","Origin","OrigLong","OrigLat","ArrHour","Dest","DestLong","DestLat","n"
"07","ABQ",-106.60,35.04,"10","ORD",-87.90,41.97,30
"18","ABQ",-106.60,35.04,"18","LAS",-115.15,36.08,71
"16","ABQ",-106.60,35.04,"16","LAS",-115.15,36.08,83
"11","ABQ",-106.60,35.04,"11","LAS",-115.15,36.08,82
"10","ABQ",-106.60,35.04,"10","LAS",-115.15,36.08,86
"16","ABQ",-106.60,35.04,"17","LBB",-101.82,33.66,78
"12","ABQ",-106.60,35.04,"12","PHX",-112.01,33.43,24
"10","ABQ",-106.60,35.04,"11","PHX",-112.01,33.43,65
"07","ABQ",-106.60,35.04,"07","LAX",-118.40,33.94,73
"12","ABQ",-106.60,35.04,"14","PHX",-112.01,33.43,1
"08","ABQ",-106.60,35.04,"12","ORD",-87.90,41.97,89
"07","ABQ",-106.60,35.04,"07","PHX",-112.01,33.43,45
"06","ABQ",-106.60,35.04,"07","PHX",-112.01,33.43,47
"13","ABQ",-106.60,35.04,"15","MAF",-102.20,31.94,89
"22","ABQ",-106.60,35.04,"22","LAS",-115.15,36.08,87
"11","ABQ",-106.60,35.04,"11","PHX",-112.01,33.43,46
"21","ABQ",-106.60,35.04,"22","LBB",-101.82,33.66,17
"15","ABQ",-106.60,35.04,"17","LBB",-101.82,33.66,1
"09","ABQ",-106.60,35.04,"11","LBB",-101.82,33.66,84
"12","ABQ",-106.60,35.04,"16","ORD",-87.90,41.97,61
"10","ABQ",-106.60,35.04,"12","LBB",-101.82,33.66,1
"13","ABQ",-106.60,35.04,"16","ORD",-87.90,41.97,88
"07","ABQ",-106.60,35.04,"10","IAH",-95.34,29.98,85
"06","ABQ",-106.60,35.04,"07","LAX",-118.40,33.94,167
"17","ABQ",-106.60,35.04,"18","LAX",-118.40,33.94,13
"12","ABQ",-106.60,35.04,"12","LAX",-118.40,33.94,92
"07","ABQ",-106.60,35.04,"08","PHX",-112.01,33.43,124
"09","ABQ",-106.60,35.04,"11","MCI",-94.71,39.29,88
"16","ABQ",-106.60,35.04,"16","LAX",-118.40,33.94,82
"16","ABQ",-106.60,35.04,"17","LAX",-118.40,33.94,77
"11","ABQ",-106.60,35.04,"12","LAX",-118.40,33.94,98
"09","ABQ",-106.60,35.04,"10","LAX",-118.40,33.94,13
"09","ABQ",-106.60,35.04,"10","PHX",-112.01,33.43,47
"12","ABQ",-106.60,35.04,"13","LAX",-118.40,33.94,53
"18","ABQ",-106.60,35.04,"19","LAX",-118.40,33.94,85
